IOC,Type,Source,Description,Criticality,ConnectionType,USOM_ID,Date,AddedAt_UTC
172.86.76.129,ip,SB,MC,8,OT,1112658,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
172.86.76.108,ip,SB,MC,8,OT,1112656,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
172.86.76.94,ip,SB,MC,8,OT,1112654,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
172.86.76.101,ip,SB,MC,8,OT,1112652,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
172.86.76.112,ip,SB,MC,8,OT,1112650,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
172.86.76.124,ip,SB,MC,8,OT,1112648,2026-05-06 16:28:59.23173,2026-05-21 11:13:29
38.180.107.76,ip,SB,MC,8,OT,1112420,2026-05-06 12:58:32.570258,2026-05-21 11:13:29
185.177.239.255,ip,SB,MC,8,OT,1112312,2026-05-06 12:24:05.699705,2026-05-21 11:13:29
77.91.97.244,ip,SB,MC,8,OT,1112310,2026-05-06 12:24:05.699705,2026-05-21 11:13:29
185.238.189.41,ip,SB,MC,8,OT,1112306,2026-05-06 12:11:38.591244,2026-05-21 11:13:29
58.229.188.59,ip,SO,CA,8,OT,1112042,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
192.109.200.50,ip,SO,CA,8,OT,1112040,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
216.180.127.201,ip,SO,CA,8,OT,1112038,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
45.123.217.22,ip,SO,CA,8,OT,1112036,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
121.32.49.226,ip,SO,CA,8,OT,1112034,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
43.159.177.40,ip,SO,CA,8,OT,1112032,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
8.141.116.175,ip,SO,CA,8,OT,1112030,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
123.253.162.254,ip,SO,CA,8,OT,1112028,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
165.232.114.242,ip,SO,CA,8,OT,1112026,2026-05-05 13:39:57.385798,2026-05-21 11:13:29
216.9.225.23,ip,SB,MI,8,MF,1109978,2026-05-05 11:31:00.427838,2026-05-21 11:13:29
78.40.117.254,ip,SB,MI,8,MF,1109976,2026-05-05 11:23:58.876549,2026-05-21 11:13:29
176.65.132.43,ip,SB,MI,8,OT,1109974,2026-05-05 11:19:30.489404,2026-05-21 11:13:29
176.65.139.177,ip,SB,MI,8,MF,1109972,2026-05-05 11:18:21.353638,2026-05-21 11:13:29
84.200.205.233,ip,SB,MC,8,OT,1109852,2026-05-05 08:57:16.993057,2026-05-21 11:13:29
154.82.81.205,ip,SB,MC,8,OT,1109824,2026-05-05 07:53:15.792198,2026-05-21 11:13:29
